Category,State,2009-10 - (Actual),2010-11 - (Actual),2011-12 - (Prov.),2012-13 - RE,2013-14 - AP
I. SPUs,Andhra Pradesh,18.11,16.31,15.98,16.00,15.36
I. SPUs,Assam,28.06,24.21,29.08,26.69,23.41
I. SPUs,Bihar,38.32,43.59,44.05,42.00,38.00
I. SPUs,Chhattisgarh,32.02,30.92,30.01,26.27,19.79
I. SPUs,Gujarat,17.09,18.20,18.26,18.40,17.92
I. SPUs,Haryana,26.43,24.28,22.88,23.72,20.35
I. SPUs,Himachal Pradesh,14.71,11.08,13.42,12.39,12.08
I. SPUs,Jammu and Kashmir,63.04,62.03,61.44,46.72,46.36
I. SPUs,Jharkhand,35.27,32.87,35.01,32.58,30.96
I. SPUs,Karnataka,21.38,21.65,20.04,19.09,18.33
I. SPUs,Kerala,19.22,17.86,18.30,16.77,16.52
I. SPUs,Madhya Pradesh,36.59,34.64,33.74,31.00,25.89
I. SPUs,Maharashtra,25.19,21.10,18.78,17.56,18.80
I. SPUs,Meghalaya,33.95,32.48,29.81,28.28,23.93
I. SPUs,Punjab,19.74,18.16,17.11,16.84,16.35
I. SPUs,Rajasthan,29.37,26.73,24.37,23.00,21.62
I. SPUs,Tamil Nadu,17.98,20.81,16.86,20.00,19.60
I. SPUs,Uttar Pradesh,31.07,31.04,31.56,28.83,26.96
I. SPUs,Uttarakhand,24.53,21.61,19.96,19.00,18.25
I. SPUs,West Bengal,23.82,25.01,25.27,21.09,22.02
II EDs,Arunachal Pradesh,51.30,48.99,52.91,42.74,41.86
II EDs,Goa,15.16,15.44,15.45,15.92,16.41
II EDs,Manipur,45.75,40.36,31.52,29.42,27.98
II EDs,Mizoram,36.99,27.24,31.76,30.50,29.19
II EDs,Nagaland,36.46,35.89,40.00,40.93,37.37
II EDs,Pondicherry,13.52,12.38,11.34,11.31,11.29
II EDs,Sikkim,21.10,26.35,18.36,16.19,14.93
II EDs,Tripura,24.70,22.04,22.95,22.36,21.86
