S.No.,State,Year,Type,Total,Electricity,Kerosene,Solar,Other_Oil,Other,No_lighting
1,Andaman & Nicobar Islands,2001,Rural,49653,33807,14846,308,191,115,386
2,Andhra Pradesh,2001,Rural,12676218,7561733,5031880,22539,16570,7855,35641
3,Arunachal Pradesh,2001,Rural,164501,73250,62279,375,1571,9717,17309
4,Assam,2001,Rural,4220173,697842,3507237,7631,1827,2057,3579
5,Bihar,2001,Rural,12660007,649503,11960569,35228,5799,5244,3664
6,Chandigarh,2001,Rural,21302,20750,444,42,11,4,51
7,Chhattisgarh,2001,Rural,3359078,1548926,1777634,5697,2994,10189,13638
8,Dadra & Nagar Haveli,2001,Rural,32783,27088,5256,39,3,54,343
9,Daman & Diu,2001,Rural,22091,21529,445,5,6,25,81
10,Delhi,2001,Rural,169528,144948,22021,175,140,1201,1043
11,Goa,2001,Rural,140755,130105,9667,259,51,140,533
12,Gujarat,2001,Rural,5885961,4244758,1540107,12604,11900,18368,58224
13,Haryana,2001,Rural,2454463,1926814,505586,5373,4458,3332,8900
14,Himachal Pradesh,2001,Rural,1097520,1036969,53500,1207,1258,1982,2604
15,Jammu & Kashmir,2001,Rural,1161357,868341,223346,9669,1601,51579,6821
16,Jharkhand,2001,Rural,3802412,379987,3408058,7965,3199,1685,1518
17,Karnataka,2001,Rural,6675173,4816913,1814040,13295,3776,4538,22611
18,Kerala,2001,Rural,4942550,3238899,1669386,26399,3153,3151,1562
19,Lakshadweep,2001,Rural,5351,5337,71060,,,,
20,Madhya Pradesh,2001,Rural,8124795,5063424,3024423,10535,6762,6510,13141
21,Maharashtra,2001,Rural,10993623,7164057,3695381,14823,26919,29825,62618
22,Manipur,2001,Rural,296354,155679,133711,705,143,2785,3331
23,Meghalaya,2001,Rural,329678,99762,224878,968,794,777,2499
24,Mizoram,2001,Rural,79362,35028,41915,793,103,936,587
25,Nagaland,2001,Rural,265334,150929,99536,495,474,5363,8537
26,Orissa,2001,Rural,6782879,1312744,5409973,22438,4019,8317,25388
27,Pondicherry,2001,Rural,72199,58486,13456,85,13,66,93
28,Punjab,2001,Rural,2775462,2482925,248353,3498,3554,6924,30208
29,Rajasthan,2001,Rural,7156703,3150556,3912541,29112,17179,8780,38535
30,Sikkim,2001,Rural,91723,68808,22245,144,54,105,367
31,Tamil Nadu,2001,Rural,8274790,5890371,2329949,16359,3212,5755,29144
32,Tripura,2001,Rural,539680,171357,364826,996,193,1172,1136
33,Uttar Pradesh,2001,Rural,20590074,4084288,16371920,80732,18976,14904,19254
34,Uttaranchal,2001,Rural,1196157,602255,558411,29104,812,2137,3438
35,West Bengal,2001,Rural,11161870,2262517,8838875,34827,4450,11612,9589
-,India,2001,Rural,138271559,60180685,76896701,394425,146165,227210,426373
